pubchem_cid	pubchem_cid_parent	canonical_smiles	canonical_smiles_parent
9294	9294	CC(C(C1=CC=CC=C1)O)NC	CC(C(C1=CC=CC=C1)O)NC
9433	2153	CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N	CN1C2=C(C(=O)N(C1=O)C)NC=N2
9444	9444	C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N	C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
9642	9642	CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C	CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C
9651	9651	CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O	CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)O
9681	9681	CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C	CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C
9782	9782	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
9873	9873	C(C(C(C(C(F)(F)Br)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F	C(C(C(C(C(F)(F)Br)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F
9878	9878	CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O	CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
9904	9904	CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34	CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34
10100	10100	CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C	CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C
10133	10133	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
10340	767	C(=O)([O-])[O-].[Na+].[Na+]	C(=O)(O)O
10413	10413	C(CC(=O)O)CO	C(CC(=O)O)CO
10531	10531	CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C	CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C
10547	10548	CCOP(=O)(OCC)SCC[N+](C)(C)C.[I-]	CCOP(=O)(OCC)SCC[N+](C)(C)C
